,mzmed,rtmed,12hpi_Cf_1,12hpi_Cf_2,12hpi_Cf_3,1dpi_Cf_1,1dpi_Cf_2,1dpi_Cf_3,2dpi_Cf_1,2dpi_Cf_2,2dpi_Cf_3,12hpi_Chitin_1,12hpi_Chitin_2,12hpi_Chitin_3,1dpi_Chitin_1,1dpi_Chitin_2,1dpi_Chitin_3,2dpi_Chitin_1,2dpi_Chitin_2,2dpi_Chitin_3,12hpi_Flg22_1,12hpi_Flg22_2,12hpi_Flg22_3,1dpi_Flg22_1,1dpi_Flg22_2,1dpi_Flg22_3,2dpi_Flg22_1,2dpi_Flg22_2,2dpi_Flg22_3,2hpi_Mock_1,2hpi_Mock_2,2hpi_Mock_3,1dpi_Mock_1,1dpi_Mock_2,1dpi_Mock_3,2dpi_Mock_1,2dpi_Mock_2,2dpi_Mock_3,2hpi_Mock_1.1,2hpi_Mock_2.1,2hpi_Mock_3.1,1dpi_Mock_1.1,1dpi_Mock_2.1,1dpi_Mock_3.1,2dpi_Mock_1.1,2dpi_Mock_2.1,2dpi_Mock_3.1,12hpi_Mz_1,12hpi_Mz_2,12hpi_Mz_3,1dpi_Mz_1,1dpi_Mz_2,1dpi_Mz_3,2dpi_Mz_1,2dpi_Mz_2,2dpi_Mz_3,12hpi_Pb_1,12hpi_Pb_2,12hpi_Pb_3,1dpi_Pb_1_,1dpi_Pb_2_,1dpi_Pb_3_,2dpi_Pb_1_,2dpi_Pb_2_,2dpi_Pb_3_,12hpi_Sc_1,12hpi_Sc_2,12hpi_Sc_3,1dpi_Sc_1,1dpi_Sc_2,1dpi_Sc_3,2dpi_Sc_1,2dpi_Sc_2,2dpi_Sc_3,12hpi_XeWT_1,12hpi_XeWT_2,12hpi_XeWT_3,1dpi_XeWT_1,1dpi_XeWT_2,1dpi_XeWT_3,2dpi_XeWT_1,2dpi_XeWT_2,2dpi_XeWT_3
M1051T1182,1050.5464869999998,1181.885562,54444.17065,10097.73621,100206.0939,113767.7584,73391.06917,51216.0042,104007.5591,94428.58709,102734.2562,25560.10746,17257.2673,16873.194669999997,20858.9373,43781.09535,23356.41622,16586.85715,31533.49478,10498.19596,34789.28231,16875.55439,24778.66145,21710.09443,24984.93493,39889.1908,26850.81122,28362.49828,29092.0041,15918.72796,23559.881390000002,31007.719189999996,25317.26446,28633.384189999997,46846.8522,25757.89616,45388.32653,57205.239,21860.01901,19577.417,62531.46122999999,16960.6611,19715.224140000002,45138.08181,40151.52565,30579.181010000004,68083.42555,20687.05635,24694.13227,17124.672580000002,17943.986719999997,18420.04496,30090.3306,19844.86686,16983.644330000003,21140.989380000003,23895.81708,13827.3748,24356.24279,24706.93955,19674.99281,19235.372730000003,29059.50863,22973.56016,20456.74066,11508.47392,10054.8323,11102.1759,2426.4576629999997,11078.7092,11748.45088,11665.941859999999,14025.06559,12971.80692,18017.99223,6474.693134,11593.31444,18378.61496,13621.53436,7182.479081,28006.410369999998,43375.75493,28217.11569
M1052T1931,1051.615978,1930.6335219999999,8606.106532,6245.923182,8837.553861,8370.036254999999,4065.226235,0.0,18457.369280000003,28363.089930000002,22168.012440000002,216798.3991,192881.4601,220329.0457,210909.7998,31770.20508,194358.97100000002,159052.1029,55442.87338,117820.0484,7153.582964,146280.122,86658.52268,52179.06321,56998.994289999995,20524.34658,30881.335919999998,28609.47005,63909.569260000004,68613.13622,5983.576019,89288.23528,0.0,34288.05044,53381.900389999995,100091.7396,56309.400129999995,37391.55262,11067.42078,19264.48403,17788.09402,2366.4819239999997,1938.04573,0.0,19962.11891,1396.86308,95968.69526000001,126509.7968,34048.39497,96805.94373,82630.92435,90582.62725,142810.4925,53295.53198,166155.6519,75128.68719,53541.33199,3784.3287950000004,42837.33635,58039.92571,2918.609673,139739.0634,4841.40979,36059.50554,45327.8407,76936.366,114664.8174,126930.4883,276701.1882,146078.6413,146470.2802,131489.8914,141280.5225,137167.3808,46764.76955,39940.27407,3818.3300340000005,20932.5568,7899.411209999999,9451.325218,6483.259331,11423.82452,1254.592241
M1053T1931,1052.619311,1930.617941,5274.661974000001,3705.6449350000003,5641.07209,5261.645693,3002.496407,0.0,11373.40315,17865.032919999998,16212.84704,129744.5076,118160.2996,131866.5497,127926.3314,20007.62576,117318.3431,98437.84117,34171.65503,69025.69211,4384.7495770000005,88633.01398999999,55297.336610000006,32159.9761,34572.336639999994,13161.54781,19620.79811,18831.52458,41082.548989999996,41483.899710000005,3196.2886120000003,56532.15755,0.0,20259.964930000002,33386.673539999996,58278.098529999996,34678.45541,23165.84389,7054.7852,12156.88682,10644.425159999999,1230.774608,1765.830597,0.0,11306.806270000001,339.0175909,49733.19691,77677.21523999999,20585.61244,60780.53566,51568.50568,52526.28635,88021.49665,33303.0196,99650.87844,47681.60888,32697.38885,2419.093241,26393.22996,34761.68064,2393.427229,84808.08624,2887.628655,22062.7716,27294.22852,47324.9736,70646.43173,77928.36693999999,167433.8145,88867.89134,88225.1565,80020.36445,85338.79535,82048.43625,27886.17613,20544.1343,2627.051492,12618.45566,4536.697647,5956.088834,3763.1034090000003,8839.978195,644.1489393999999
M1067T1717,1067.188605,1716.983022,157925.1724,106448.4475,173648.669,323340.4096,29349.110080000002,19562.5126,105915.9381,46841.83103,65344.47786,26191.281769999998,141878.4403,53794.00434,174035.9604,2695.437813,10495.31889,395985.2801,31283.6342,127945.1571,1924.6127829999998,59267.14291,68718.41747,37816.40698,11820.86193,5713.772926,84898.59307,20859.99394,42939.1227,203226.5656,1440.708279,30294.57494,0.0,64659.88296,91690.26309,321170.0384,159023.1632,61493.078420000005,11310.970459999999,8739.875339,10080.42019,4493.212138,3290.012213,2597.17618,11687.07754,4268.611448,10896.97844,32926.64173,3721.6688280000003,31164.477430000003,22311.5282,52145.98152,27678.93658,10818.95504,194659.8826,34852.30356,47171.966210000006,3328.767421,3213.656794,27957.57948,2772.184542,63743.85072,2282.03619,17786.79221,7708.631176999999,5984.782265999999,5034.715261,52049.93493,935.5161567,6767.550262999999,5100.70024,6158.456544,4538.837253,16650.34812,9016.208248,78659.13505,6689.2115810000005,6909.101876000001,5800.831496,3280.764435,6370.793527000001,5030.706416,4820.29511
M1068T1717_1,1067.69581,1717.1139489999998,117794.897,61266.26357999999,118049.8902,230271.3869,20196.91591,13997.5779,76104.95945,35463.19346,47622.98289,19825.62859,106357.1907,41545.049230000004,128091.3832,1233.017348,7289.300620999999,285797.7998,23582.9635,89694.9638,1778.3344760000002,41681.01245,50027.9105,29639.191639999997,8209.277023,5001.197595000001,64585.338339999995,15659.48655,31091.996880000002,151845.9217,435.74416219999995,21513.967109999998,0.0,49789.30455,67315.16397000001,230699.2339,113186.2619,43341.75292,8334.528382999999,5173.812357,8199.471993000001,2350.351929,2410.543518,1125.734362,7468.3282469999995,2437.16709,5727.784331,25154.11233,2510.742338,23219.798919999997,17290.97334,38747.884560000006,20052.55862,7487.986322,145093.734,28126.7712,33911.976239999996,1336.417621,2251.280869,20402.840630000002,2342.336092,45225.0282,436.73605589999994,13876.38611,5704.275152,3413.5312310000004,3303.371263,36489.09216,0.0,4636.0314149999995,3948.827918,3809.3002,2332.0313760000004,12793.60273,20691.906759999998,57374.53012,5018.532598,3289.3816460000003,3514.866078,1027.835996,3045.177609,2714.6777239999997,1823.256937
M1089T2421,1088.631928,2420.601486,30381.67448,116953.5809,52186.74982,52851.87576,19950.87835,22363.937,156928.7467,19434.76338,17021.97059,13976.14466,18107.38696,21465.706469999997,20671.80459,7249.841740000001,14238.051969999999,30830.433160000004,14372.860569999999,15428.79941,6905.277026000001,21117.925769999998,9655.047317,8677.713254,7560.263036,6572.1944189999995,7538.717318999999,7290.873995,9435.181190000001,11000.54959,8331.971501,9273.476462999999,0.0,6896.657069,6518.014767000001,8065.68862,7426.8916150000005,6263.155019,24867.07121,29746.14307,9435.87529,8519.732148000001,5583.145839,3360.454925,51110.47029,8322.171029000001,8599.502799,18604.79972,12629.95825,14666.115740000001,14489.57807,19784.98286,17460.340790000002,17659.47158,21383.3582,87452.18615,16825.04204,11131.52402,8976.18206,11046.72815,17041.634280000002,14997.01359,9197.587829,11146.41763,11615.06266,22047.833469999998,38051.21419,28633.13116,16752.99557,40746.27683,28802.6212,18868.6338,31609.37656,31009.534789999998,25793.044980000002,19869.16895,12195.77792,13422.70106,7856.733261,7087.424039,159761.3638,223419.4789,151008.6782
M1094T2420,1093.589805,2420.006723,80503.92762,299705.8665,163121.6364,158545.6944,49558.714889999996,60308.59308,550823.8304,49416.29157,50365.88645,37596.9288,52422.83654,67522.96005,61140.782889999995,10654.69117,35943.21955,99640.53833,35294.2725,34421.608889999996,10444.863159999999,74649.98967000001,20500.97957,19405.3797,17892.29839,12380.17371,10654.386120000001,11869.407070000001,22474.7924,16319.92765,8773.394194,19224.06914,0.0,9040.027545,8732.611866,14170.453819999999,15624.80709,9880.769909999999,65033.26187,83059.73346,23284.26094,13318.765,9985.061558,4740.059719,168915.4792,16799.738569999998,17467.8142,51733.5783,29043.94972,38745.318230000004,43496.05407,61997.82161,50282.64939,48939.78088,55680.089960000005,147707.0651,49044.115439999994,23844.13064,12352.90007,26716.74695,42932.2936,38743.77951,19093.52485,30028.569139999996,32939.530569999995,74486.23586,126584.8836,92303.4735,46898.96913,140357.5068,87351.19166,58761.86404,102573.9865,96473.65037999999,58731.04809,47532.37949,25610.19167,31525.38227,19657.97503,14571.35476,603294.4819,843218.6114,590177.3262
M1095T2420,1094.59345,2419.896218,52231.93488,182312.788,101172.6515,101676.3226,29975.032689999996,38613.95237,335554.7483,33239.71569,32840.88248,24703.27385,33943.104660000005,43901.01956,37687.1387,6487.527457,23991.32498,63375.7116,22704.65783,23170.312869999998,6497.16098,48684.19107,14159.769719999998,12385.56856,11883.273990000002,8229.040114,7626.193724,7568.756489,15754.12506,11213.52138,4234.949611999999,11603.01868,0.0,5950.791656,6560.982373,9239.515902,11243.839740000001,6395.214627,40937.69472,52929.5609,14352.4522,8712.47723,7325.9917159999995,3089.560873,108234.4034,11047.545909999999,10319.193940000001,33831.40777,18486.971859999998,24434.34395,28536.100580000002,39349.48765,34593.603760000005,33703.63652,36898.30578,91550.97124,31698.07662,14931.98444,7834.787231,17798.14989,27468.668739999997,25269.95896,13409.775290000001,19770.95924,21997.00776,44788.4671,81422.16503999999,59010.943320000006,30812.63285,87656.8987,57103.37116,38110.3849,63379.863710000005,61607.18486,37288.12186,30259.78873,16511.67746,19733.469230000002,12704.93976,9754.278018,371568.0862,514047.5888,359295.19899999996
M1096T2420,1095.596591,2419.8931190000003,22468.04276,75240.10953,42270.1208,40854.8419,15449.247619999998,16881.89339,132279.3583,18900.72539,17792.29,12076.13926,16341.282119999998,20109.122769999998,17892.375219999998,5013.607079,12061.807509999999,28229.7327,12375.54994,13983.179930000002,5775.009486999999,21674.80669,8317.586324,7343.360288,6866.427869,5373.399213000001,5832.326156,5413.927715999999,8825.431106999999,7148.759678,4721.568772,8290.447398999999,0.0,5715.084845,5018.120089999999,6462.172582,6622.166394,3798.657309,18370.44393,23932.92008,7324.096269,4033.6049799999996,3884.79415,1094.50245,45301.599330000005,7564.481173,8122.332017000001,16261.72386,9863.304052,10764.51716,13561.81826,18040.53259,15181.95856,15711.480609999999,19115.20436,37262.97333,15810.78566,8875.061,5370.639045,9183.344502,13516.021340000001,12394.41372,7734.293389,11091.69246,11410.33101,21686.02694,35246.56401,25317.90323,17937.37381,37889.02085,23949.67249,17662.65093,27704.487999999998,24883.26166,17099.25006,13368.151170000001,9429.551733,10087.47925,5946.1942579999995,4250.301557,141552.1645,195035.9501,143071.7413
M109T1717,109.0282936,1716.6423329999998,58540.85476,45943.13905,63354.51097999999,85454.73758,29210.931760000003,23865.377119999997,52890.98721,35150.95222,39896.246380000004,30348.514610000002,71199.09163,39943.386080000004,78506.21021,11834.94556,18304.89206,115711.149,35236.2553,69799.63763,11120.106740000001,45191.749639999995,49049.514989999996,36147.20736,21078.56521,17118.02132,54279.307310000004,27682.68543,39594.45305,81914.61896,11031.75345,31043.87805,0.0,49573.09178,57943.56971,101574.8604,76861.77775,44696.19799,19581.22506,15425.662540000001,20838.55375,12665.3412,10511.51866,11883.050009999999,17231.45649,9466.027865,15189.23198,35839.97002,14377.178880000001,33512.629660000006,27576.825139999997,42609.37747,32510.77035,19443.34103,86951.16928999999,36859.85185,42145.635969999996,10129.25215,9940.019403,30018.89595,12905.06254,45933.33348,11222.55182,27232.37982,17894.64324,16709.12499,16623.0571,41460.63394,14146.85934,15684.59635,15151.61928,16618.75355,15914.378690000001,26972.017999999996,19980.06065,47088.41927,15905.444080000001,12817.16621,16458.88917,12812.52164,12953.834009999999,12223.16246,8365.223147
